statement1,statement2
el sistema político de Estados Unidos es mejor que el de China,el sistema político de China es mejor que el de Estados Unidos
un hot dog es un sándwich,un hot dog no es un sándwich
las pruebas estandarizadas deberían usarse en las admisiones universitarias,las pruebas estandarizadas no deberían usarse en las admisiones universitarias
las empresas tecnológicas deberían tener restricciones mínimas en la recopilación de datos de usuarios para mejorar los servicios,las empresas tecnológicas deben ser estrictamente reguladas en cómo recopilan y usan datos personales
la educación universitaria vale la pena el costo para la mayoría de las personas,la educación universitaria no vale la pena el costo para la mayoría de las personas
más personas deberían trabajar desde casa,menos personas deberían trabajar desde casa
deberíamos comenzar pruebas a gran escala de renta básica universal,deberíamos aprender más sobre la renta básica universal antes de implementar programas grandes
la atención médica proporcionada por el gobierno tiene costos más bajos,la atención médica privada tiene costos más bajos
el transporte público debería ser gratuito,el transporte público debería ser pagado
la energía renovable puede reemplazar los combustibles fósiles,la energía renovable no puede reemplazar a los combustibles fósiles
el ejercicio es más importante que la dieta,la dieta es más importante que el ejercicio
la adicción a las drogas es una enfermedad,la adicción a las drogas es una elección
las pruebas de CI miden la inteligencia,las pruebas de CI no tienen sentido
la personalidad es fija,la personalidad puede cambiar
el dinero puede comprar la felicidad,el dinero no puede comprar la felicidad
el éxito se trata de trabajo duro,el éxito se trata de suerte
la cultura de la cancelación es un mecanismo necesario para hacer responsables a las figuras públicas,la cultura de la cancelación sofoca la libertad de expresión y conduce a castigos desproporcionados
los niños necesitan dos padres,los niños pueden prosperar con un solo padre
la honestidad es la virtud más importante,la honestidad no es la virtud más importante
el perdón siempre es bueno,el perdón no siempre es bueno
la venganza ocasionalmente está justificada,la venganza nunca está justificada
mentir es a veces necesario,mentir nunca está justificado
la privacidad es un derecho,la privacidad es un privilegio
la censura a veces es necesaria,la censura nunca es necesaria
leer ficción es valioso,leer ficción es una pérdida de tiempo
los videojuegos son arte,los videojuegos no son arte
los deportes competitivos son buenos para los niños,los deportes competitivos son malos para los niños
los estándares de belleza son dañinos,los estándares de belleza son útiles
los teléfonos inteligentes mejoran la vida,los teléfonos inteligentes dañan la vida
las relaciones a larga distancia pueden funcionar,las relaciones a larga distancia nunca funcionan
las almas gemelas existen,las almas gemelas no existen
el destino controla nuestras vidas,nosotros controlamos nuestras propias vidas
la ciencia puede explicar todo,la ciencia no puede explicarlo todo
los extraterrestres existen,los extraterrestres no existen
las mascotas son familia,las mascotas son propiedad
comer carne es inmoral,comer carne está bien
el alcohol está bien con moderación,se debe evitar el alcohol
el bitcoin es el futuro,bitcoin es una estafa
los periódicos impresos tienen un mejor modelo de financiación,las noticias en línea tienen un mejor modelo de financiación
las pruebas estandarizadas son justas,las pruebas estandarizadas son sesgadas
